code,report_month,region,commodity,item,year,period,value,min_value,max_value
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Imports,2020/21 Proj.,Oct,0.46,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Domestic Total,2020/21 Proj.,Oct,12.6,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Exports,2020/21 Proj.,Oct,8.5,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Ending Stocks,2020/21 Proj.,Oct,1.15,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Beginning Stocks,2020/21 Proj.,Sep,0.2,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Production,2020/21 Proj.,Sep,8.1,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Imports,2020/21 Proj.,Sep,0.0,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Domestic Total,2020/21 Proj.,Sep,2.3,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Exports,2020/21 Proj.,Sep,5.8,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Ending Stocks,2020/21 Proj.,Sep,0.2,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Beginning Stocks,2020/21 Proj.,Oct,0.24,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Production,2020/21 Proj.,Oct,8.16,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Imports,2020/21 Proj.,Oct,0.0,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Domestic Total,2020/21 Proj.,Oct,2.35,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Exports,2020/21 Proj.,Oct,5.8,,
